"","species","decimalLatitude","decimalLongitude"
"1","Mesophyllum erubescens",NA,""
"2","Mesophyllum erubescens",NA,""
"3","Mesophyllum erubescens",-41.245,"174.24"
"4","Mesophyllum erubescens",-41.245,"174.24"
"5","Mesophyllum erubescens",-41.245,"174.24"
"6","Mesophyllum erubescens",-41.245,"174.24"
"7","Mesophyllum erubescens",-41.245,"174.24"
"8","Mesophyllum erubescens",-41.245,"174.24"
"9","Mesophyllum erubescens",NA,""
"10","Mesophyllum erubescens",NA,""
"11","Mesophyllum erubescens",NA,""
"12","Mesophyllum erubescens",NA,""
"13","Mesophyllum erubescens",-41.94486,"-74.03019"
"14","Mesophyllum erubescens",-41.94486,"-74.03019"
"15","Mesophyllum erubescens",-41.94486,"-74.03019"
"16","Mesophyllum erubescens",-39.69365,"-73.38219"
"17","Mesophyllum erubescens",NA,""
"18","Mesophyllum erubescens",NA,""
"19","Mesophyllum erubescens",NA,""
"20","Mesophyllum erubescens",NA,""
"21","Mesophyllum erubescens",-24.493889,"-46.677778"
"22","Mesophyllum erubescens",-14.64745,"145.4525"
"23","Mesophyllum erubescens",-13.25042,"-176.12294"
"24","Mesophyllum erubescens",-13.34141,"-176.30728"
"25","Mesophyllum erubescens",-13.34141,"-176.30728"
"26","Mesophyllum erubescens",-13.34114,"-176.21495"
"27","Mesophyllum erubescens",-37.018333,"174.599722"
"28","Mesophyllum erubescens",-7.90701,"-140.53107"
"29","9756683",NA,"CC_BY_4_0"
"30","Mesophyllum erubescens",-35.21745,"174.180583"
"31","Mesophyllum erubescens",-36.886883,"175.425967"
"32","Mesophyllum erubescens",-36.8185,"175.053433"
"33","Mesophyllum erubescens",-36.966667,"174.733333"
"34","Mesophyllum erubescens",-36.8185,"175.053433"
"35","Mesophyllum erubescens",-40.87,"174.920833"
"36","Mesophyllum erubescens",-43.628667,"172.928183"
"37","Mesophyllum erubescens",-38.325133,"174.702917"
"38","Mesophyllum erubescens",-37.859833,"176.986833"
"39","Mesophyllum erubescens",-41.348333,"174.765"
"40","Mesophyllum erubescens",-35.6116,"174.531933"
"41","Mesophyllum erubescens",-36.8185,"175.053433"
"42","Mesophyllum erubescens",-34.828,"173.410617"
"43","Mesophyllum erubescens",-34.435133,"172.71675"
"44","Mesophyllum erubescens",-43.798233,"-176.68355"
"45","Mesophyllum erubescens",-43.815717,"-176.705017"
"46","Mesophyllum erubescens",-34.828,"173.410617"
"47","Mesophyllum erubescens",-38.705,"178.050667"
"48","Mesophyllum erubescens",-40.787033,"172.95705"
"49","Mesophyllum erubescens",-43.815717,"-176.705017"
"50","Mesophyllum erubescens",-36.8185,"175.053433"
"51","Mesophyllum erubescens",-40.785733,"172.765783"
"52","Mesophyllum erubescens",-35.196933,"174.2161"
"53","Mesophyllum erubescens",-36.8185,"175.053433"
"54","Mesophyllum erubescens",-41.35,"174.766667"
"55","Mesophyllum erubescens",-43.628667,"172.928183"
"56","Mesophyllum erubescens",-40.787033,"172.95705"
"57","Mesophyllum erubescens",-35.201333,"174.205017"
"58","Mesophyllum erubescens",-40.5,"172.676667"
"59","Mesophyllum erubescens",-38.705,"178.050667"
"60","Mesophyllum erubescens",-40.790883,"172.95215"
"61","Mesophyllum erubescens",-40.141667,"176.865833"
"62","Mesophyllum erubescens",-40.120533,"176.874583"
"63","Mesophyllum erubescens",-38.705,"178.050667"
"64","Mesophyllum erubescens",-36.376733,"174.824133"
"65","Mesophyllum erubescens",-41.156533,"173.4009"
"66","Mesophyllum erubescens",-40.5,"172.676667"
"67","Mesophyllum erubescens",-38.6836,"178.031933"
"68","Mesophyllum erubescens",-44,"-176.675"
"69","Mesophyllum erubescens",-40.87,"174.920833"
"70","Mesophyllum erubescens",-43.585,"172.773833"
"71","Mesophyllum erubescens",-41.156917,"173.408283"
